k8,k16,b4,e11,l1,b5,b2b,d2,j2,survey_year,firm_age,log_size,log_sales,survey_year_cat,target_formal_credit,target_applied_credit,k82a,k162a,k162b
no,no,no,yes,35.0,1990.0,0.0,13000000.0,0.0,2013,23.0,3.58351893845611,16.380459992348886,2013,0.0,0.0,,,
no,no,,yes,70.0,1998.0,0.0,5000000.0,0.0,2013,15.0,4.2626798770413155,15.424948670398354,2013,0.0,0.0,,,
no,no,no,no,11.0,1998.0,0.0,700000.0,0.0,2013,15.0,2.4849066497880004,13.45883704259595,2013,0.0,0.0,,,
no,no,no,yes,9.0,2011.0,0.0,35000.0,0.0,2013,2.0,2.302585092994046,10.463131911491967,2013,0.0,0.0,,,
no,no,no,yes,13.0,2002.0,0.0,2000000.0,0.0,2013,11.0,2.6390573296152584,14.508658238524095,2013,0.0,0.0,,,
no,no,no,no,10.0,2010.0,0.0,4800000.0,0.0,2013,3.0,2.3978952727983707,15.38412668421143,2013,0.0,0.0,,,
no,no,no,no,20.0,1997.0,0.0,12000000.0,0.0,2013,16.0,3.044522437723423,16.300417291085605,2013,0.0,0.0,,,
no,no,no,no,22.0,1983.0,0.0,1500000.0,0.0,2013,30.0,3.1354942159291497,14.220976332738882,2013,0.0,0.0,,,
no,no,no,no,14.0,1997.0,0.0,700000.0,0.0,2013,16.0,2.70805020110221,13.45883704259595,2013,0.0,0.0,,,
no,no,yes,no,14.0,1990.0,0.0,750000.0,0.0,2013,23.0,2.70805020110221,13.527829818844937,2013,0.0,0.0,,,
no,no,no,yes,45.0,1999.0,0.0,5000000.0,20.0,2013,14.0,3.828641396489095,15.424948670398354,2013,0.0,0.0,,,
no,no,no,,17.0,2009.0,0.0,1700000.0,0.0,2013,4.0,2.8903717578961645,14.346139397261565,2013,0.0,0.0,,,
no,no,no,no,13.0,2010.0,0.0,,0.0,2013,3.0,2.6390573296152584,,2013,0.0,0.0,,,
no,no,no,no,18.0,1994.0,100.0,,0.0,2013,19.0,2.9444389791664403,,2013,0.0,0.0,,,
no,no,no,no,19.0,1998.0,0.0,120000.0,0.0,2013,15.0,2.995732273553991,11.695255355062795,2013,0.0,0.0,,,
yes,yes,no,no,22.0,2007.0,0.0,2000000.0,0.0,2013,6.0,3.1354942159291497,14.508658238524095,2013,1.0,1.0,,,
no,no,no,no,1167.0,1962.0,0.0,154108000.0,20.0,2013,51.0,7.0630481633881725,18.853164219773134,2013,0.0,0.0,,,
no,no,no,yes,25.0,1960.0,0.0,45000.0,100.0,2013,53.0,3.258096538021482,10.714439990727769,2013,0.0,0.0,,,
no,no,yes,yes,18.0,1912.0,0.0,208000.0,100.0,2013,101.0,2.9444389791664403,12.245298166364206,2013,0.0,0.0,,,
no,no,no,yes,7.0,1983.0,0.0,180000.0,0.0,2013,30.0,2.0794415416798357,12.100717685412471,2013,0.0,0.0,,,
yes,no,no,yes,18.0,1997.0,0.0,27000000.0,0.0,2013,16.0,2.9444389791664403,17.11134746100564,2013,1.0,0.0,,,
no,no,no,no,8.0,2001.0,0.0,1230000.0,10.0,2013,12.0,2.1972245773362196,14.0225255403564,2013,0.0,0.0,,,
no,no,no,no,25.0,1970.0,0.0,80000000.0,5.0,2013,43.0,3.258096538021482,18.197537205138154,2013,0.0,0.0,,,
yes,no,yes,no,12.0,1989.0,0.0,2311000.0,3.0,2013,24.0,2.5649493574615367,14.653191321969535,2013,1.0,0.0,,,
yes,no,no,no,14.0,1990.0,0.0,97000.0,10.0,2013,23.0,2.70805020110221,11.48247656671073,2013,1.0,0.0,,,
no,no,no,yes,35.0,2010.0,0.0,17000000.0,0.0,2013,3.0,3.58351893845611,16.648723960844016,2013,0.0,0.0,,,
no,no,,no,16.0,1995.0,0.0,6105761.0,0.0,2013,18.0,2.833213344056216,15.624743473462923,2013,0.0,0.0,,,
no,no,no,no,12.0,1984.0,0.0,1780000.0,,2013,29.0,2.5649493574615367,14.392124484065864,2013,0.0,0.0,,,
yes,yes,no,no,16.0,1983.0,0.0,4902340.0,0.0,2013,30.0,2.833213344056216,15.405223404094263,2013,1.0,1.0,,,
no,no,,no,7.0,1983.0,0.0,2000000.0,0.0,2013,30.0,2.0794415416798357,14.508658238524095,2013,0.0,0.0,,,
no,no,yes,no,14.0,1981.0,0.0,13500000.0,,2013,32.0,2.70805020110221,16.41820031748273,2013,0.0,0.0,,,
no,no,,no,5.0,1987.0,0.0,366000.0,0.0,2013,26.0,1.791759469228055,12.810391344620207,2013,0.0,0.0,,,
no,no,,yes,9.0,1983.0,0.0,554625.0,0.0,2013,30.0,2.302585092994046,13.226049291699644,2013,0.0,0.0,,,
no,no,no,no,75.0,1986.0,0.0,,0.0,2013,27.0,4.330733340286331,,2013,0.0,0.0,,,
no,,no,yes,15.0,1997.0,0.0,,0.0,2013,16.0,2.772588722239781,,2013,0.0,,,,
no,no,,no,5.0,2009.0,0.0,,0.0,2013,4.0,1.791759469228055,,2013,0.0,0.0,,,
no,yes,,no,17.0,1979.0,0.0,,0.0,2013,34.0,2.8903717578961645,,2013,0.0,1.0,,,
no,no,no,yes,10.0,1987.0,0.0,,0.0,2013,26.0,2.3978952727983707,,2013,0.0,0.0,,,
no,no,,no,10.0,1988.0,0.0,,0.0,2013,25.0,2.3978952727983707,,2013,0.0,0.0,,,
no,no,no,no,17.0,2003.0,0.0,,0.0,2013,10.0,2.8903717578961645,,2013,0.0,0.0,,,
